"","year","region","cons_or_not","averagevoteshare"
"120",1996,"Incheon","2",8.37322038786351
"121",1996,"Jeju","0",30.3318409017873
"122",1996,"Jeju","1",36.6668701137214
"123",1996,"Jeju","2",33.0012889844913
"124",1996,"Jeonbuk","0",67.3964449270548
"125",1996,"Jeonbuk","1",25.9836578445839
"126",1996,"Jeonbuk","2",10.2976179107842
"127",1996,"Jeonnam","0",72.9429334710725
"128",1996,"Jeonnam","1",18.3586883264595
"129",1996,"Jeonnam","2",12.3227024534963
"130",1996,"Seoul","0",49.205776665477
"131",1996,"Seoul","1",47.8393922942015
"132",1996,"Seoul","2",4.78886409983139
"133",1998,"Busan","0",22.0857794294537
"134",1998,"Busan","1",57.8594702343649
"135",1998,"Busan","2",31.0976400509083
"136",1998,"Daegu","0",37.5004559215086
"137",1998,"Daegu","1",69.427650659879
"138",1998,"Daegu","2",23.6442427587335
"139",1998,"Gangwon","0",8.19704134310876
"140",1998,"Gangwon","1",61.1274998915448
"141",1998,"Gangwon","2",30.6754587653464
"142",1998,"Gyeongbuk","0",21.0824210780335
"143",1998,"Gyeongbuk","1",85.526024029548
"144",1998,"Gyeongbuk","2",7.8655308628705
"145",1998,"Gyeonggi","0",50.8158750344386
"146",1998,"Gyeonggi","1",46.5644948444799
"147",1998,"Gyeonggi","2",5.23926024216288
"148",1998,"Seoul","0",31.5774703451446
"149",1998,"Seoul","1",62.0542743959129
"150",1998,"Seoul","2",6.36825525894243
"151",1999,"Gyeonggi","1",100
"152",1999,"Incheon","0",41.7622939149748
"153",1999,"Incheon","1",54.8947862980153
"154",1999,"Incheon","2",3.34291978700988
"155",1999,"Seoul","0",57.6944535293099
"156",1999,"Seoul","1",68.928035548949
"157",1999,"Seoul","2",2.224737686396
"158",2000,"Busan","0",30.622613210741
"159",2000,"Busan","1",61.7204079532331
"160",2000,"Busan","2",13.016864021244
"161",2000,"Chungbuk","0",31.833725983143
"162",2000,"Chungbuk","1",61.0879061566806
"163",2000,"Chungbuk","2",9.90971500424688
"164",2000,"Chungnam","0",29.8459321753411
"165",2000,"Chungnam","1",66.0830762615658
"166",2000,"Chungnam","2",11.1952267985062
"167",2000,"Daegu","0",18.3184881158
"168",2000,"Daegu","1",72.5468512196471
"169",2000,"Daegu","2",12.5601584137602
"170",2000,"Daejeon","0",32.804636555985
"171",2000,"Daejeon","1",57.8387196674397
"172",2000,"Daejeon","2",14.0349656648629
"173",2000,"Gangwon","0",43.0134598907705
"174",2000,"Gangwon","1",50.3777596168825
"175",2000,"Gangwon","2",8.49700349016043
"176",2000,"Gwangju","0",69.9668142123676
"177",2000,"Gwangju","1",3.48273075997984
"178",2000,"Gwangju","2",31.860546033183
"179",2000,"Gyeongbuk","0",26.6171332413849
"180",2000,"Gyeongbuk","1",66.0991293300865
"181",2000,"Gyeongbuk","2",16.6485426937798
